,adam,gradient_descend,ada_grad,momentum,Nesterov,rms_prop
17343,[-6.77959824e-25 -1.16219353e-25],[-1.23568249e+00  1.43716594e-10],[-4.10480942e-02  1.32253369e-13],[-1.01908256e+00  3.03813440e-11],[-1.23568249e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
17344,[-6.77959824e-25 -1.16219353e-25],[-1.23555893e+00  1.43716594e-10],[-4.10363790e-02  1.32253369e-13],[-1.01896932e+00  3.03813440e-11],[-1.23555893e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
17345,[-6.77959824e-25 -1.16219353e-25],[-1.23543537e+00  1.43716594e-10],[-4.10246672e-02  1.32253369e-13],[-1.0188561e+00  3.0381344e-11],[-1.23543537e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
17346,[-6.77959824e-25 -1.16219353e-25],[-1.23531183e+00  1.43716594e-10],[-4.10129587e-02  1.32253369e-13],[-1.0187429e+00  3.0381344e-11],[-1.23531183e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
17347,[-6.77959824e-25 -1.16219353e-25],[-1.23518829e+00  1.43716594e-10],[-4.10012535e-02  1.32253369e-13],[-1.0186297e+00  3.0381344e-11],[-1.23518829e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
17348,[-6.77959824e-25 -1.16219353e-25],[-1.23506478e+00  1.43716594e-10],[-4.09895517e-02  1.32253369e-13],[-1.01851652e+00  3.03813440e-11],[-1.23506478e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
17349,[-6.77959824e-25 -1.16219353e-25],[-1.23494127e+00  1.43716594e-10],[-4.09778532e-02  1.32253369e-13],[-1.01840335e+00  3.03813440e-11],[-1.23494127e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
17350,[-6.77959824e-25 -1.16219353e-25],[-1.23481778e+00  1.43716594e-10],[-4.09661581e-02  1.32253369e-13],[-1.01829019e+00  3.03813440e-11],[-1.23481778e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
17351,[-6.77959824e-25 -1.16219353e-25],[-1.23469429e+00  1.43716594e-10],[-4.09544663e-02  1.32253369e-13],[-1.01817705e+00  3.03813440e-11],[-1.23469429e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
17352,[-6.77959824e-25 -1.16219353e-25],[-1.23457082e+00  1.43716594e-10],[-4.09427778e-02  1.32253369e-13],[-1.01806391e+00  3.03813440e-11],[-1.23457082e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
17353,[-6.77959824e-25 -1.16219353e-25],[-1.23444737e+00  1.43716594e-10],[-4.09310927e-02  1.32253369e-13],[-1.0179508e+00  3.0381344e-11],[-1.23444737e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
17354,[-6.77959824e-25 -1.16219353e-25],[-1.23432392e+00  1.43716594e-10],[-4.09194109e-02  1.32253369e-13],[-1.01783769e+00  3.03813440e-11],[-1.23432392e+00  1.43716594e-10],[-7.14880497e-13 -4.99999950e-03]
17355,[-6.77959824e-25 -1.16219353e-25],[-1.23420049e+00  1.43716594e-10],[-4.09077324e-02  1.32253369e-13],[-1.01772459e+00  3.03813440e-11],[-1.23420049e+00  1.43716594e-10],[-7.14880497e-13  4.99999950e-03]
